DEPARTAMENTO,HORA,MODALIDAD,FALLECIDOS,HERIDOS
LIMA,05:40,DESPISTE,0,0
CAJAMARCA,16:30,DESPISTE,0,0
PASCO,07:45,DESPISTE,0,1
CAJAMARCA,18:30,DESPISTE,0,2
LIMA,18:40,DESPISTE,0,5
ICA,16:30,CHOQUE,0,1
ICA,16:35,CHOQUE,1,1
HUANUCO,21:45,ATROPELLO,0,1
PIURA,23:50,CHOQUE,0,6
AMAZONAS,02:30,DESPISTE,0,2
AREQUIPA,23:40,CHOQUE,0,0
LA LIBERTAD,17:45,DESPISTE,0,5
LA LIBERTAD,10:30,DESPISTE,0,2
MOQUEGUA,20:50,CHOQUE,0,0
TACNA,16:50,DESPISTE,1,0
PUNO,18:15,CHOQUE,0,0
AREQUIPA,12:50,DESPISTE,2,16
TACNA,05:45,DESPISTE,2,1
AREQUIPA,16:30,CHOQUE,0,0
AREQUIPA,16:30,CHOQUE,0,3
AREQUIPA,11:00,ESPECIAL,0,0
LIMA,10:10,ATROPELLO,1,0
CAJAMARCA,08:00,CHOQUE,0,0
LIMA,00:40,CHOQUE,0,1
LIMA,08:25,DESPISTE,0,0
LIMA,11:20,DESPISTE,0,1
AREQUIPA,16:00,CHOQUE,4,3
JUNIN,13:00,CHOQUE,0,3
ANCASH,21:52,CHOQUE,0,0
LIMA,17:45,DESPISTE,0,0
PUNO,23:50,DESPISTE,3,41
ANCASH,00:40,CHOQUE,2,6
AMAZONAS,15:45,DESPISTE,0,1
APURIMAC,06:00,DESPISTE,0,2
SAN MARTIN,09:30,DESPISTE,0,2
MADRE DE DIOS,16:45,DESPISTE,0,4
AREQUIPA,21:20,CHOQUE,0,0
TACNA,20:15,DESPISTE,0,6
LIMA,18:30,DESPISTE,0,2
LIMA,06:50,CHOQUE,0,2
LIMA,02:25,CHOQUE,0,4
LIMA,11:40,CHOQUE,0,0
LAMBAYEQUE,19:00,CHOQUE,0,3
LIMA,23:45,CHOQUE,0,1
JUNIN,11:29,CHOQUE,0,0
LIMA,16:00,CHOQUE,0,2
ICA,07:30,DESPISTE,0,2
AYACUCHO,01:00,DESPISTE,0,0
PUNO,06:50,CHOQUE,0,1
ANCASH,10:10,DESPISTE,0,1
AREQUIPA,01:20,CHOQUE,0,2
PIURA,23:50,DESPISTE,1,0
PUNO,21:30,CHOQUE,0,4
ANCASH,11:10,DESPISTE,0,0
AREQUIPA,12:30,CHOQUE,0,0
LIMA,21:40,DESPISTE,0,2
